merchant_id,merchant_name,merchant_category,province,city,risk_rating
6101,Merchant 06101,Entertainment,Free State,Bethlehem,Low
6102,Merchant 06102,Electronics,Limpopo,Tzaneen,High
6103,Merchant 06103,Travel,Mpumalanga,Emalahleni,Low
6104,Merchant 06104,Electronics,North West,Rustenburg,Low
6105,Merchant 06105,Restaurant,Western Cape,Cape Town,Low
6106,Merchant 06106,Travel,Free State,Bethlehem,Low
6107,Merchant 06107,Electronics,Kwazulu-Natal,Durban,Low
6108,Merchant 06108,Restaurant,Mpumalanga,Secunda,High
6109,Merchant 06109,Fuel,Northern Cape,Upington,Low
6110,Merchant 06110,Online Services,Mpumalanga,Mbombela,Low
6111,Merchant 06111,Electronics,Northern Cape,Kimberley,Low
6112,Merchant 06112,Online Services,North West,Mahikeng,Low
6113,Merchant 06113,Electronics,Gauteng,Pretoria,Medium
6114,Merchant 06114,Clothing,Gauteng,Johannesburg,Low
6115,Merchant 06115,Online Services,Limpopo,Polokwane,Low
6116,Merchant 06116,Online Services,Eastern Cape,Gqeberha,Low
6117,Merchant 06117,Entertainment,Kwazulu-Natal,Pietermaritzburg,High
6118,Merchant 06118,Entertainment,Western Cape,Stellenbosch,Low
6119,Merchant 06119,Travel,Free State,Welkom,Low
6120,Merchant 06120,Healthcare,Northern Cape,Kuruman,Low
6121,Merchant 06121,Entertainment,Eastern Cape,Gqeberha,Low
6122,Merchant 06122,Clothing,Free State,Bethlehem,Low
6123,Merchant 06123,Entertainment,Eastern Cape,Gqeberha,Low
6124,Merchant 06124,Fuel,Northern Cape,Kimberley,High
6125,Merchant 06125,Restaurant,North West,Mahikeng,Medium
6126,Merchant 06126,Other,Mpumalanga,Secunda,Medium
6127,Merchant 06127,Fuel,Gauteng,Soweto,Low
6128,Merchant 06128,Restaurant,Western Cape,Cape Town,Low
6129,Merchant 06129,Healthcare,Eastern Cape,East London,Medium
6130,Merchant 06130,Clothing,Free State,Bloemfontein,Low
6131,Merchant 06131,Fuel,Mpumalanga,Secunda,Low
6132,Merchant 06132,Online Services,Free State,Bloemfontein,Low
6133,Merchant 06133,Clothing,Northern Cape,Kimberley,Low
6134,Merchant 06134,Other,Gauteng,Johannesburg,Medium
6135,Merchant 06135,Entertainment,Mpumalanga,Secunda,Medium
6136,Merchant 06136,Electronics,Northern Cape,Kuruman,High
6137,Merchant 06137,Entertainment,Limpopo,Thohoyandou,Low
6138,Merchant 06138,Entertainment,Eastern Cape,Gqeberha,Medium
6139,Merchant 06139,Other,Kwazulu-Natal,Durban,Medium
6140,Merchant 06140,Electronics,North West,Nan,Low
6141,Merchant 06141,Other,Kwazulu-Natal,Richards Bay,Low
6142,Merchant 06142,Grocery,Eastern Cape,Mthatha,Low
6143,Merchant 06143,Grocery,Kwazulu-Natal,Richards Bay,Medium
6144,Merchant 06144,Clothing,Eastern Cape,East London,Low
6145,MERCHANT 06145,Clothing,Limpopo,Tzaneen,Medium
6146,Merchant 06146,Online Services,Northern Cape,Upington,Low
6147,Merchant 06147,Travel,Free State,Bethlehem,Medium
6148,Merchant 06148,Entertainment,Western Cape,George,Low
6149,Merchant 06149,Restaurant,Mpumalanga,Emalahleni,High
6150,Merchant 06150,Travel,North West,Rustenburg,High
6151,Merchant 06151,Clothing,Eastern Cape,Gqeberha,Low
6152,Merchant 06152,Grocery,Limpopo,Polokwane,Low
6153,Merchant 06153,Healthcare,Kwazulu-Natal,Durban,Low
6154,Merchant 06154,Fuel,Northern Cape,Upington,Low
6155,Merchant 06155,Grocery,Western Cape,Cape Town,Low
6156,Merchant 06156,Travel,Eastern Cape,Mthatha,Low
6157,Merchant 06157,Online Services,Mpumalanga,Mbombela,Low
6158,Merchant 06158,Online Services,Free State,Bethlehem,Low
6159,Merchant 06159,Fuel,Limpopo,Polokwane,Medium
6160,Merchant 06160,Other,Limpopo,Tzaneen,Medium
6161,Merchant 06161,Electronics,Limpopo,Polokwane,Low
6162,Merchant 06162,Electronics,Free State,Bethlehem,Low
6163,Merchant 06163,Fuel,Free State,Bloemfontein,Low
6164,Merchant 06164,Travel,Mpumalanga,Mbombela,Low
6165,Merchant 06165,Fuel,Kwazulu-Natal,Durban,Medium
6166,Merchant 06166,Online Services,North West,Rustenburg,Medium
6167,Merchant 06167,Fuel,Gauteng,Pretoria,Low
6168,Merchant 06168,Healthcare,Eastern Cape,Gqeberha,Low
6169,Merchant 06169,Other,Limpopo,Thohoyandou,Low
6170,Merchant 06170,Other,Northern Cape,Kimberley,Medium
6171,Merchant 06171,Restaurant,Free State,Bloemfontein,Low
6172,MERCHANT 06172,Healthcare,North West,Klerksdorp,Low
6173,Merchant 06173,Grocery,Western Cape,George,Low
6174,Merchant 06174,Fuel,Free State,Welkom,Medium
6175,Merchant 06175,Other,North West,Klerksdorp,Medium
6176,Merchant 06176,Electronics,Free State,Welkom,High
6177,Merchant 06177,Travel,Gauteng,Soweto,Medium
6178,Merchant 06178,Electronics,Northern Cape,Upington,Low
6179,Merchant 06179,Electronics,Northern Cape,Kimberley,Low
6180,Merchant 06180,Entertainment,Western Cape,George,Low
6181,Merchant 06181,Grocery,Limpopo,Tzaneen,Low
6182,Merchant 06182,Healthcare,Limpopo,Polokwane,Low
6183,Merchant 06183,Entertainment,Free State,Bloemfontein,Low
6184,Merchant 06184,Other,Eastern Cape,East London,Low
6185,Merchant 06185,Online Services,Gauteng,Midrand,Low
6186,Merchant 06186,Clothing,Mpumalanga,Emalahleni,Low
6187,Merchant 06187,Online Services,North West,Klerksdorp,Medium
6188,Merchant 06188,Entertainment,Western Cape,Stellenbosch,Low
6189,MERCHANT 06189,Entertainment,Eastern Cape,East London,Low
6190,Merchant 06190,Travel,Western Cape,George,Medium
6191,Merchant 06191,Entertainment,Western Cape,Cape Town,Low
6192,merchant 06192,Healthcare,Northern Cape,Kuruman,Low
6193,Merchant 06193,Grocery,North West,Mahikeng,Medium
6194,Merchant 06194,Fuel,Kwazulu-Natal,Pietermaritzburg,Medium
6195,Merchant 06195,Other,North West,Mahikeng,High Risk
6196,merchant 06196,Healthcare,Eastern Cape,Mthatha,Medium
6197,Merchant 06197,Travel,Northern Cape,Kuruman,Medium
6198,Merchant 06198,Online Services,Free State,Welkom,Low
6199,Merchant 06199,Other,Kwazulu-Natal,Durban,High
6200,Merchant 06200,Other,Kwazulu-Natal,Richards Bay,Low
6201,Merchant 06201,Online Services,Limpopo,Thohoyandou,Low
6202,Merchant 06202,Healthcare,Free State,Welkom,Medium
6203,Merchant 06203,Travel,Kwazulu-Natal,Durban,Low
6204,Merchant 06204,Grocery,North West,Mahikeng,Low
6205,Merchant 06205,Grocery,Free State,Bloemfontein,Medium
6206,Merchant 06206,Electronics,Limpopo,Polokwane,Low
6207,Merchant 06207,Clothing,Gauteng,Johannesburg,High
6208,Merchant 06208,Grocery,North West,Rustenburg,Low
6209,Merchant 06209,Electronics,Western Cape,Paarl,Low
6210,Merchant 06210,Clothing,Northern Cape,Kimberley,Medium
6211,Merchant 06211,Clothing,Gauteng,Soweto,Low
6212,Merchant 06212,Clothing,Northern Cape,Kuruman,Medium
6213,Merchant 06213,Electronics,Mpumalanga,Secunda,Low
6214,Merchant 06214,Travel,Free State,Bloemfontein,Medium
6215,Merchant 06215,Online Services,Kwazulu-Natal,Durban,Medium
6216,Merchant 06216,Other,Kwazulu-Natal,Pietermaritzburg,Low
6217,Merchant 06217,Other,Free State,Bloemfontein,Low
6218,Merchant 06218,Fuel,Limpopo,Tzaneen,Medium
6219,Merchant 06219,Entertainment,Gauteng,Pretoria,Medium
6220,Merchant 06220,Electronics,Kwazulu-Natal,Durban,Low
6221,Merchant 06221,Healthcare,Free State,Welkom,Medium
6222,Merchant 06222,Entertainment,Eastern Cape,Gqeberha,High
6223,Merchant 06223,Entertainment,Mpumalanga,Mbombela,Low
6224,Merchant 06224,Online Services,Kwazulu-Natal,Durban,Low
6225,Merchant 06225,Grocery,Western Cape,Stellenbosch,Medium
6226,Merchant 06226,Healthcare,Free State,Welkom,Low
6227,Merchant 06227,Other,Northern Cape,Kimberley,Medium
6228,Merchant 06228,Online Services,Mpumalanga,Emalahleni,High
6229,Merchant 06229,Electronics,North West,Mahikeng,Low
6230,Merchant 06230,Grocery,Mpumalanga,Secunda,Low
6231,Merchant 06231,Online Services,Gauteng,Midrand,Low
6232,Merchant 06232,Other,Limpopo,Polokwane,Low
6233,MERCHANT 06233,Electronics,Northern Cape,Upington,Low
6234,Merchant 06234,Electronics,Gauteng,Soweto,Medium
6235,Merchant 06235,Nan,Western Cape,Paarl,Low
6236,Merchant 06236,Healthcare,Mpumalanga,Mbombela,Low
6237,Merchant 06237,Entertainment,Northern Cape,Kimberley,High
6238,Merchant 06238,Fuel,North West,Mahikeng,Low
6239,Merchant 06239,Other,North West,Rustenburg,Low
6240,Merchant 06240,Restaurant,Northern Cape,Kimberley,Medium
6241,Merchant 06241,Entertainment,Mpumalanga,Nan,Low
6242,Merchant 06242,Restaurant,North West,Rustenburg,Low
6243,Merchant 06243,Online Services,Free State,Bloemfontein,Medium
6244,Merchant 06244,Travel,Limpopo,Polokwane,Medium
6245,Merchant 06245,Other,Mpumalanga,Secunda,Low
6246,Merchant 06246,Online Services,North West,Klerksdorp,Low
6247,merchant 06247,Restaurant,Eastern Cape,East London,Low
6248,Merchant 06248,Fuel,Northern Cape,Upington,Low
6249,Merchant 06249,Restaurant,Limpopo,Thohoyandou,Low
6250,Merchant 06250,Grocery,Limpopo,Tzaneen,Low
6251,Merchant 06251,Electronics,Kwazulu-Natal,Durban,Low
6252,Merchant 06252,Other,Gauteng,Johannesburg,High
6253,Merchant 06253,Travel,Northern Cape,Upington,Low
6254,Merchant 06254,Healthcare,Northern Cape,Upington,Medium
6255,Merchant 06255,Clothing,Eastern Cape,Mthatha,Low
6256,Merchant 06256,Clothing,North West,Rustenburg,Low
6257,Merchant 06257,Clothing,Northern Cape,Upington,High
6258,Merchant 06258,Fuel,Eastern Cape,East London,Low
6259,Merchant 06259,Healthcare,Western Cape,George,Low
6260,Merchant 06260,Healthcare,Gauteng,Johannesburg,Medium
6261,Merchant 06261,Other,Eastern Cape,Mthatha,Low
6262,Merchant 06262,Other,Free State,Bethlehem,Low
6263,Merchant 06263,Restaurant,Eastern Cape,Gqeberha,Low
6264,Merchant 06264,Restaurant,Northern Cape,Kimberley,Nan
6265,Merchant 06265,Restaurant,Limpopo,Tzaneen,Low
6266,Merchant 06266,Grocery,Eastern Cape,Gqeberha,Low
6267,Merchant 06267,Clothing,Northern Cape,Kimberley,Low
6268,Merchant 06268,Entertainment,Kwazulu-Natal,Pietermaritzburg,Low
6269,Merchant 06269,Travel,Western Cape,Stellenbosch,Low
6270,Merchant 06270,Electronics,Northern Cape,Kimberley,Low
6271,Merchant 06271,Fuel,Free State,Bethlehem,Low
6272,Merchant 06272,Online Services,Northern Cape,Upington,Low
6273,Merchant 06273,Electronics,Western Cape,Cape Town,Low
6274,Merchant 06274,Online Services,Western Cape,Cape Town,Medium
6275,Merchant 06275,Clothing,Mpumalanga,Secunda,Low
6276,Merchant 06276,Fuel,Western Cape,George,Low
6277,Merchant 06277,Clothing,Northern Cape,Upington,Low
6278,Merchant 06278,Electronics,Eastern Cape,Mthatha,Low
6279,Merchant 06279,Online Services,Eastern Cape,Gqeberha,Low
6280,Merchant 06280,Travel,Northern Cape,Kuruman,Medium
6281,Merchant 06281,Travel,Western Cape,Cape Town,Medium
6282,Merchant 06282,Restaurant,North West,Rustenburg,Low
6283,Merchant 06283,Restaurant,Northern Cape,Kimberley,Medium
6284,Merchant 06284,Entertainment,Western Cape,George,Medium
6285,Merchant 06285,Healthcare,Western Cape,Paarl,Low
6286,Merchant 06286,Healthcare,Free State,Bethlehem,Low
6287,Merchant 06287,Fuel,Free State,Bloemfontein,Low
6288,Merchant 06288,Healthcare,Kwazulu-Natal,Durban,High
6289,Merchant 06289,Online Services,Mpumalanga,Emalahleni,Medium
6290,Merchant 06290,Entertainment,Northern Cape,Upington,Low
6291,Merchant 06291,Online Services,Northern Cape,Kimberley,Medium
6292,Merchant 06292,Clothing,Mpumalanga,Secunda,Medium
6293,Merchant 06293,Travel,Mpumalanga,Mbombela,Nan
6294,Merchant 06294,Travel,Northern Cape,Kuruman,Low
6295,Merchant 06295,Restaurant,Western Cape,Paarl,Low
6296,Merchant 06296,Electronics,Mpumalanga,Mbombela,Low
6297, Merchant 06297 ,Entertainment,Limpopo,Polokwane,Low
6298,Merchant 06298,Fuel,North West,Mahikeng,High
6299,Merchant 06299,Grocery,Gauteng,Johannesburg,Low
6300,Merchant 06300,Electronics,North West,Mahikeng,Low
6301,Merchant 06301,Electronics,Eastern Cape,Mthatha,High
6302,Merchant 06302,Clothing,Limpopo,Tzaneen,Low
6303,Merchant 06303,Fuel,Mpumalanga,Emalahleni,Low
6304,Merchant 06304,Restaurant,Free State,Bethlehem,Medium
6305,Merchant 06305,Clothing,Limpopo,Tzaneen,Low
6306,Merchant 06306,Entertainment,Eastern Cape,East London,High
6307,Merchant 06307,Grocery,North West,Rustenburg,Low
6308,Merchant 06308,Travel,Mpumalanga,Mbombela,Low
6309,Merchant 06309,Fuel,Free State,Bethlehem,Medium
6310,Merchant 06310,Travel,Eastern Cape,Mthatha,Low
6311,Merchant 06311,Electronics,Eastern Cape,East London,Medium
6312,Merchant 06312,Other,Limpopo,Thohoyandou,High
6313,Merchant 06313,Restaurant,Kwazulu-Natal,Richards Bay,Low
6314,Merchant 06314,Other,Limpopo,Polokwane,Medium
6315,Merchant 06315,Clothing,Limpopo,Polokwane,Low
6316,Merchant 06316,Online Services,Western Cape,George,Low
6317,Merchant 06317,Restaurant,North West,Mahikeng,Low
6318,Merchant 06318,Electronics,Free State,Welkom,Low
6319,Merchant 06319,Online Services,Limpopo,Thohoyandou,Low
6320,Merchant 06320,Online Services,Western Cape,Stellenbosch,Medium
6321,Merchant 06321,Online Services,Limpopo,Tzaneen,Medium
6322,Merchant 06322,Fuel,North West,Rustenburg,Low
6323,Merchant 06323,Electronics,Western Cape,George,Low
6324,Merchant 06324,Fuel,Kwazulu-Natal,Durban,Medium
6325,Merchant 06325,Healthcare,Kwazulu-Natal,Durban,Low
6326,Merchant 06326,Online Services,Gauteng,Soweto,Medium
6327,Merchant 06327,Grocery,Gauteng,Soweto,Medium
6328, Merchant 06328 ,Clothing,Kwazulu-Natal,Pietermaritzburg,Low
6329,Merchant 06329,Restaurant,Eastern Cape,Gqeberha,Low
6330,MERCHANT 06330,Online Services,Limpopo,Tzaneen,Low
6331,Merchant 06331,Travel,Mpumalanga,Mbombela,Medium
6332,Merchant 06332,Healthcare,Free State,Welkom,Low
6333,Merchant 06333,Electronics,Gauteng,Pretoria,Low
6334,Merchant 06334,Electronics,Limpopo,Thohoyandou,Medium
6335,Merchant 06335,Healthcare,Northern Cape,Kuruman,Low
6336,Merchant 06336,Electronics,Western Cape,George,Medium
6337,Merchant 06337,Travel,Eastern Cape,Gqeberha,Low
6338,Merchant 06338,Travel,Northern Cape,Kuruman,Low
6339,Merchant 06339,Electronics,Eastern Cape,East London,Low
6340,Merchant 06340,Travel,Limpopo,Tzaneen,Low
6341,Merchant 06341,Restaurant,Mpumalanga,Mbombela,Medium
6342,Merchant 06342,Clothing,North West,Rustenburg,Medium
6343,Merchant 06343,Travel,North West,Klerksdorp,Low
6344,Merchant 06344,Other,Western Cape,Cape Town,Medium
6345,Merchant 06345,Electronics,Gauteng,Pretoria,Medium
6346,Merchant 06346,Electronics,North West,Klerksdorp,Medium
6347,Merchant 06347,Clothing,Northern Cape,Upington,Low
6348,Merchant 06348,Travel,Kwazulu-Natal,Pietermaritzburg,Low
6349,Merchant 06349,Grocery,Eastern Cape,East London,Medium
6350,Merchant 06350,Healthcare,Gauteng,Soweto,Medium
6351,Merchant 06351,Healthcare,Western Cape,Cape Town,Medium
6352,Merchant 06352,Entertainment,Gauteng,Pretoria,Medium
6353,MERCHANT 06353,Travel,Free State,Bloemfontein,Low
6354,Merchant 06354,Fuel,North West,Klerksdorp,Low
6355,Merchant 06355,Grocery,Northern Cape,Kuruman,Medium
6356,Merchant 06356,Fuel,Free State,Bloemfontein,High
6357,Merchant 06357,Healthcare,Kwazulu-Natal,Richards Bay,Low
6358,Merchant 06358,Healthcare,Western Cape,George,Low
6359,Merchant 06359,Entertainment,Kwazulu-Natal,Durban,High
6360,Merchant 06360,Entertainment,North West,Rustenburg,Low
6361,Merchant 06361,Other,Northern Cape,Kimberley,Medium
6362,Merchant 06362,Electronics,Eastern Cape,Gqeberha,High
6363,Merchant 06363,Clothing,Limpopo,Thohoyandou,Low
6364,Merchant 06364,Travel,Eastern Cape,Gqeberha,Low
6365,Merchant 06365,Electronics,Northern Cape,Kimberley,Low
6366,Merchant 06366,Other,Mpumalanga,Mbombela,Medium
6367,Merchant 06367,Clothing,Mpumalanga,Secunda,Low
6368,Merchant 06368,Clothing,Northern Cape,Upington,Low
6369,Merchant 06369,Restaurant,Western Cape,Paarl,High
6370,Merchant 06370,Entertainment,Free State,Welkom,Medium
6371,Merchant 06371,Travel,North West,Rustenburg,Medium
6372,Merchant 06372,Entertainment,Western Cape,Paarl,Medium
6373,Merchant 06373,Clothing,North West,Mahikeng,Low
6374,Merchant 06374,Electronics,Eastern Cape,Mthatha,Medium
6375,Merchant 06375,Grocery,Eastern Cape,Gqeberha,Low
6376,Merchant 06376,Travel,Kwazulu-Natal,Richards Bay,Low
6377,Merchant 06377,Fuel,Limpopo,Nan,Low
6378,Merchant 06378,Other,North West,Rustenburg,High
6379,MERCHANT 06379,Entertainment,Northern Cape,Kuruman,High
6380,Merchant 06380,Fuel,Gauteng,Soweto,Low
6381,Merchant 06381,Restaurant,Gauteng,Midrand,Low
6382,Merchant 06382,Restaurant,Northern Cape,Kuruman,Low
6383,Merchant 06383,Electronics,North West,Rustenburg,Low
6384,Merchant 06384,Clothing,Limpopo,Polokwane,Low
6385,Merchant 06385,Grocery,North West,Mahikeng,Low
6386,Merchant 06386,Entertainment,Eastern Cape,Gqeberha,Medium
6387,Merchant 06387,Entertainment,Kwazulu-Natal,Richards Bay,Low
6388,Merchant 06388,Grocery,Mpumalanga,Secunda,Low
6389,Merchant 06389,Other,Kwazulu-Natal,Pietermaritzburg,Medium
6390,Merchant 06390,Healthcare,Western Cape,Cape Town,Low
6391,Merchant 06391,Healthcare,Gauteng,Johannesburg,Low
6392,Merchant 06392,Fuel,Gauteng,Midrand,Medium
6393,Merchant 06393,Fuel,Northern Cape,Kimberley,Low
6394,Merchant 06394,Travel,Kwazulu-Natal,Pietermaritzburg,Low
6395,Merchant 06395,Healthcare,Free State,Bethlehem,Medium
6396,Merchant 06396,Travel,Kwazulu-Natal,Richards Bay,High
6397,Merchant 06397,Clothing,Kwazulu-Natal,Richards Bay,Low
6398,Merchant 06398,Electronics,Northern Cape,Kuruman,Medium
6399,Merchant 06399,Healthcare,Kwazulu-Natal,Durban,Low
6400,Merchant 06400,Other,Limpopo,Thohoyandou,Low
6401,Merchant 06401,Fuel,Northern Cape,Kimberley,Low
6402,Merchant 06402,Electronics,North West,Klerksdorp,Low
6403,Merchant 06403,Electronics,Northern Cape,Upington,Low
6404,Merchant 06404,Healthcare,Gauteng,Pretoria,Low
6405,Merchant 06405,Electronics,Kwazulu-Natal,Richards Bay,Low
6406,Merchant 06406,Other,Western Cape,Cape Town,High
6407,Merchant 06407,Healthcare,Gauteng,Midrand,High
6408,Merchant 06408,Other,Limpopo,Tzaneen,Medium
6409,Merchant  06409,Electronics,Gauteng,Soweto,Low
6410,Merchant 06410,Nan,North West,Klerksdorp,Low
6411,Merchant 06411,Entertainment,Western Cape,Paarl,Low
6412,Merchant 06412,Restaurant,Mpumalanga,Secunda,Medium
6413,Merchant 06413,Healthcare,Limpopo,Polokwane,Low
6414,Merchant 06414,Electronics,Gauteng,Pretoria,Low
6415,Merchant 06415,Entertainment,Free State,Bethlehem,Low
6416,Merchant 06416,Clothing,Gauteng,Johannesburg,Low
6417,Merchant 06417,Clothing,Eastern Cape,Gqeberha,Medium
6418,Merchant  06418,Healthcare,Eastern Cape,Mthatha,Low
6419,Merchant 06419,Travel,Mpumalanga,Emalahleni,Medium
6420,Merchant 06420,Fuel,Mpumalanga,Emalahleni,Medium
6421,Merchant 06421,Clothing,Eastern Cape,East London,Medium
6422,Merchant 06422,Fuel,Free State,Bethlehem,Low
6423,Merchant 06423,Online Services,Limpopo,Polokwane,Low
6424,Merchant 06424,Other,Kwazulu-Natal,Richards Bay,Low
6425,Merchant 06425,Restaurant,Kwazulu-Natal,Richards Bay,Low
6426,MERCHANT 06426,Online Services,North West,Mahikeng,Medium
6427,Merchant 06427,Restaurant,Eastern Cape,East London,Low
6428,Merchant 06428,Healthcare,Mpumalanga,Emalahleni,High
6429,Merchant 06429,Electronics,North West,Klerksdorp,Low
6430,Merchant 06430,Healthcare,Gauteng,Soweto,Low
6431,Merchant 06431,Online Services,Northern Cape,Kuruman,Low
6432,Merchant 06432,Clothing,Free State,Bethlehem,Low
6433,Merchant 06433,Fuel,Gauteng,Pretoria,Low
6434,Merchant 06434,Other,Kwazulu-Natal,Pietermaritzburg,Medium
6435,Merchant 06435,Fuel,Northern Cape,Kimberley,Low
6436,Merchant 06436,Online Services,Limpopo,Tzaneen,Low
6437,Merchant 06437,Restaurant,Kwazulu-Natal,Richards Bay,High
6438,Merchant 06438,Other,Northern Cape,Kuruman,Low
6439,Merchant 06439,Online Services,Free State,Bethlehem,Low
6440,Merchant 06440,Healthcare,Mpumalanga,Mbombela,Low
6441,Merchant 06441,Electronics,Eastern Cape,Mthatha,Low
6442,Merchant 06442,Electronics,Western Cape,Cape Town,Low
6443,Merchant 06443,Online Services,North West,Mahikeng,Medium
6444,Merchant 06444,Entertainment,Eastern Cape,East London,Medium
6445,Merchant 06445,Online Services,Limpopo,Tzaneen,Low
6446,Merchant 06446,Fuel,Gauteng,Pretoria,Medium
6447,Merchant 06447,Entertainment,Western Cape,Cape Town,Low
6448,Merchant 06448,Electronics,North West,Mahikeng,Low
6449,Merchant 06449,Electronics,Mpumalanga,Mbombela,Low
6450, Merchant 06450 ,Travel,Eastern Cape,East London,Low
6451,Merchant 06451,Entertainment,Kwazulu-Natal,Durban,Medium
6452,Merchant 06452,Entertainment,Northern Cape,Upington,Medium
6453,Merchant 06453,Other,Gauteng,Johannesburg,Low
6454,Merchant 06454,Restaurant,Gauteng,Johannesburg,Medium
6455,Merchant 06455,Electronics,Northern Cape,Kuruman,Low
6456,Merchant 06456,Entertainment,North West,Klerksdorp,Low
6457,Merchant 06457,Healthcare,Northern Cape,Upington,Low
6458,Merchant 06458,Travel,Kwazulu-Natal,Pietermaritzburg,Low
6459,Merchant 06459,Clothing,Western Cape,George,Low
6460,Merchant 06460,Restaurant,Free State,Bloemfontein,Low
6461,Merchant 06461,Travel,Western Cape,George,Low
6462,Merchant 06462,Travel,Gauteng,Midrand,Low
6463,Merchant 06463,Healthcare,Eastern Cape,Mthatha,Low
6464,Merchant 06464,Fuel,Kwazulu-Natal,Pietermaritzburg,Medium
6465,Merchant 06465,Other,Mpumalanga,Secunda,Medium
6466,Merchant 06466,Entertainment,Free State,Bloemfontein,Low
6467,Merchant 06467,Online Services,Western Cape,George,Low
6468,Merchant 06468,Fuel,Northern Cape,Kimberley,Low
6469,Merchant 06469,Fuel,Gauteng,Pretoria,Low
6470,Merchant 06470,Restaurant,Northern Cape,Kuruman,Low
6471,Merchant 06471,Travel,Mpumalanga,Secunda,Low
6472,Merchant 06472,Restaurant,North West,Rustenburg,Low
6473,Merchant 06473,Entertainment,North West,Mahikeng,High
6474,Merchant 06474,Fuel,North West,Klerksdorp,Medium
6475,Merchant 06475,Fuel,Mpumalanga,Mbombela,High
6476,Merchant 06476,Fuel,Western Cape,Cape Town,Low
6477,Merchant 06477,Grocery,Northern Cape,Kimberley,Low
6478,Merchant 06478,Healthcare,Gauteng,Midrand,Medium
6479,Merchant 06479,Healthcare,Limpopo,Tzaneen,Low
6480,Merchant 06480,Grocery,Free State,Bloemfontein,Low
6481,Merchant 06481,Grocery,Kwazulu-Natal,Pietermaritzburg,Medium
6482,Merchant 06482,Travel,Northern Cape,Kuruman,Medium
6483,merchant 06483,Electronics,Mpumalanga,Emalahleni,Medium
6484,merchant 06484,Other,North West,Mahikeng,Low
6485,Merchant 06485,Healthcare,Northern Cape,Upington,Medium
6486,Merchant 06486,Healthcare,Gauteng,Johannesburg,High
6487,Merchant 06487,Entertainment,Mpumalanga,Mbombela,Low
6488,Merchant 06488,Restaurant,Eastern Cape,East London,Low
6489,Merchant 06489,Clothing,Kwazulu-Natal,Pietermaritzburg,Medium
6490,Merchant 06490,Electronics,North West,Klerksdorp,Medium
6491,Merchant 06491,Restaurant,Gauteng,Midrand,High
6492,Merchant 06492,Entertainment,Western Cape,Cape Town,Low
6493,Merchant 06493,Grocery,Eastern Cape,Mthatha,Medium
6494,Merchant 06494,Electronics,Gauteng,Soweto,Medium
6495,Merchant 06495,Grocery,Mpumalanga,Mbombela,Low
6496,Merchant 06496,Healthcare,Free State,Bethlehem,Medium
6497,Merchant 06497,Clothing,Mpumalanga,Secunda,Low
6498,Merchant 06498,Clothing,Eastern Cape,Mthatha,Medium
6499,Merchant 06499,Fuel,Free State,Welkom,Low
6500,Merchant 06500,Electronics,Gauteng,Soweto,Low
6501,Merchant 06501,Travel,Eastern Cape,Mthatha,Low
6502,Merchant 06502,Restaurant,Northern Cape,Upington,Low
6503,Merchant 06503,Electronics,Gauteng,Midrand,Low
6504,MERCHANT 06504,Other,Eastern Cape,East London,Low
6505,Merchant 06505,Entertainment,Gauteng,Soweto,Low
6506,Merchant 06506,Entertainment,North West,Klerksdorp,Low
6507,Merchant 06507,Entertainment,North West,Klerksdorp,Low
6508,Merchant 06508,Grocery,Eastern Cape,Mthatha,Low
6509,Merchant 06509,Electronics,Mpumalanga,Secunda,Low
6510,Merchant 06510,Online Services,Gauteng,Midrand,Low
6511,Merchant 06511,Online Services,Kwazulu-Natal,Durban,Low
6512, Merchant 06512 ,Travel,Mpumalanga,Mbombela,Medium
6513,Merchant 06513,Grocery,Free State,Bloemfontein,Low
6514,Merchant 06514,Clothing,Kwazulu-Natal,Pietermaritzburg,Low
6515,MERCHANT 06515,Electronics,Western Cape,Cape Town,Low
6516,Merchant 06516,Other,Gauteng,Johannesburg,Low
6517,Merchant 06517,Travel,Western Cape,George,Low
6518,Merchant 06518,Online Services,Free State,Bloemfontein,Low
6519,Merchant 06519,Healthcare,Northern Cape,Kimberley,Low
6520,Merchant 06520,Travel,Eastern Cape,Gqeberha,Low
6521,Merchant 06521,Entertainment,Eastern Cape,East London,Medium
6522,Merchant 06522,Entertainment,Northern Cape,Upington,Low
6523,Merchant 06523,Online Services,Northern Cape,Upington,Low
6524,Merchant 06524,Clothing,Gauteng,Soweto,Low
6525,Merchant 06525,Entertainment,Gauteng,Pretoria,Low
6526,Merchant 06526,Healthcare,Limpopo,Tzaneen,High
6527,Merchant 06527,Clothing,Kwazulu-Natal,Durban,Low
6528,Merchant 06528,Online Services,Western Cape,Cape Town,Low
6529,Merchant 06529,Fuel,North West,Rustenburg,Medium
6530,Merchant 06530,Restaurant,Northern Cape,Kuruman,Low
6531,Merchant 06531,Fuel,Mpumalanga,Mbombela,Low
6532,Merchant 06532,Restaurant,Northern Cape,Kuruman,Low
6533,Merchant 06533,Online Services,Western Cape,Paarl,Low
6534,Merchant 06534,Travel,Western Cape,Stellenbosch,Low
6535,Merchant 06535,Other,Gauteng,Pretoria,Medium
6536,Merchant 06536,Travel,Limpopo,Polokwane,Low
6537,Merchant 06537,Entertainment,North West,Klerksdorp,Low
6538,Merchant 06538,Healthcare,Gauteng,Midrand,Low
